"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"chlorophyta_part";"dist_barycenter"
"ANT01_a";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01_a";"sample";"ANT";0,895584917821463;0,432452544816383
"ANT01_c";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01_c";"sample";"ANT";0,735741000467508;0,432452544816383
"ANT02_a";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02_a";"sample";"ANT";0,736819373746722;0,531835156550807
"ANT02_c";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02_c";"sample";"ANT";0,634487882944673;0,531835156550807
"ANT03_c";"ANTERNE";"ANT";1400;"LIT";"C";3;"ANT03";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT03_c";"sample";"ANT";0,424495355172173;0
"ANT04_b";"ANTERNE";"ANT";1400;"SOL";"A";4;"ANT04";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT04_b";"sample";"ANT";0,843758289564433;0
"ANT05_c";"ANTERNE";"ANT";1400;"SOL";"B";5;"ANT05";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT05_c";"sample";"ANT";0,635535886871153;0,70018452618909
"ANT07_a";"ANTERNE";"ANT";1610;"LIT";"A";7;"ANT07";"Milieu forestier";"ANT_1610_LIT";3;"ANT";20,5167881666667;1,06882749;4,44333333333333;37,49654643;655,896666666667;4589,52333333333;1077,91;340,496666666667;927,683333333333;16253,7933333333;1694,88333333333;"Milieu forestier";2000;"ANT07_a";"sample";"ANT";0,725669600455898;0,541429923804994
"ANT07_c";"ANTERNE";"ANT";1610;"LIT";"A";7;"ANT07";"Milieu forestier";"ANT_1610_LIT";3;"ANT";20,5167881666667;1,06882749;4,44333333333333;37,49654643;655,896666666667;4589,52333333333;1077,91;340,496666666667;927,683333333333;16253,7933333333;1694,88333333333;"Milieu forestier";2000;"ANT07_c";"sample";"ANT";0,819744659335103;0,541429923804994
"ANT08_a";"ANTERNE";"ANT";1610;"LIT";"B";8;"ANT08";"Milieu forestier";"ANT_1610_LIT";3;"ANT";20,5167881666667;1,06882749;4,44333333333333;37,49654643;655,896666666667;4589,52333333333;1077,91;340,496666666667;927,683333333333;16253,7933333333;1694,88333333333;"Milieu forestier";2000;"ANT08_a";"sample";"ANT";0,47138244790138;0,685116768288869
