"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"chlorophyceae_part";"dist_barycenter"
"ANT01_a";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01_a";"sample";"ANT";0,190803019903912;0,515250132391888
"ANT02_b";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02_b";"sample";"ANT";0,0368687935770125;0,68693154899926
"ANT04_b";"ANTERNE";"ANT";1400;"SOL";"A";4;"ANT04";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT04_b";"sample";"ANT";0,326530612244898;0,575631234995422
"ANT04_c";"ANTERNE";"ANT";1400;"SOL";"A";4;"ANT04";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT04_c";"sample";"ANT";0,0499149177538287;0,497597503578603
"ANT06_a";"ANTERNE";"ANT";1400;"SOL";"C";6;"ANT06";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT06_a";"sample";"ANT";0,000439831104855735;0,674959023705692
"ANT13_a";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_a";"sample";"ANT";0,169014084507042;0,617211786318101
"ANT13_b";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_b";"sample";"ANT";0,160984848484848;0,583671178672491
"ANT13_c";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_c";"sample";"ANT";0,0627002926013655;0,570028506547485
"ANT15_a";"ANTERNE";"ANT";1750;"LIT";"C";15;"ANT15";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT15_a";"sample";"ANT";0,261450381679389;0,570185592136276
"ANT19_c";"ANTERNE";"ANT";2040;"LIT";"A";19;"ANT19";"Milieu ouvert";"ANT_2040_LIT";7;"ANT";12,69547208;0,867849648;4,27;27,6628094883333;656,843333333333;3174,04333333333;848,563333333333;416,16;2595,49333333333;20979,6266666667;1187,50333333333;"Milieu ouvert";2500;"ANT19_c";"sample";"ANT";0,141835518474374;0
"ANT20_a";"ANTERNE";"ANT";2040;"LIT";"B";20;"ANT20";"Milieu ouvert";"ANT_2040_LIT";7;"ANT";12,69547208;0,867849648;4,27;27,6628094883333;656,843333333333;3174,04333333333;848,563333333333;416,16;2595,49333333333;20979,6266666667;1187,50333333333;"Milieu ouvert";2500;"ANT20_a";"sample";"ANT";0,136239782016349;0
"ANT21_c";"ANTERNE";"ANT";2040;"LIT";"C";21;"ANT21";"Milieu ouvert";"ANT_2040_LIT";7;"ANT";12,69547208;0,867849648;4,27;27,6628094883333;656,843333333333;3174,04333333333;848,563333333333;416,16;2595,49333333333;20979,6266666667;1187,50333333333;"Milieu ouvert";2500;"ANT21_c";"sample";"ANT";0,189433962264151;0
"ANT24_c";"ANTERNE";"ANT";2040;"SOL";"C";24;"ANT24";"Milieu ouvert";"ANT_2040_SOL";8;"ANT";5,73309214933333;0,437751124;4,42666666666667;12,207907925;289,21;806,216666666667;143,713333333333;196,393333333333;712,636666666667;7699,41666666667;362,543333333333;"Milieu ouvert";2500;"ANT24_c";"sample";"ANT";0,145954962468724;0
"ANT26_a";"ANTERNE";"ANT";2200;"LIT";"B";26;"ANT26";"Milieu ouvert";"ANT_2200_LIT";9;"ANT";6,59934067733333;0,506246010333333;4,60333333333333;12,336253016;439,096666666667;2508,57;476,043333333333;265,993333333333;982,186666666667;11490,7533333333;1416,27;"Milieu ouvert";2500;"ANT26_a";"sample";"ANT";0,218181818181818;0,516257530763695
"ANT26_b";"ANTERNE";"ANT";2200;"LIT";"B";26;"ANT26";"Milieu ouvert";"ANT_2200_LIT";9;"ANT";6,59934067733333;0,506246010333333;4,60333333333333;12,336253016;439,096666666667;2508,57;476,043333333333;265,993333333333;982,186666666667;11490,7533333333;1416,27;"Milieu ouvert";2500;"ANT26_b";"sample";"ANT";0,0301460197833255;0,516257530763695
"ANT27_c";"ANTERNE";"ANT";2200;"LIT";"C";27;"ANT27";"Milieu ouvert";"ANT_2200_LIT";9;"ANT";6,59934067733333;0,506246010333333;4,60333333333333;12,336253016;439,096666666667;2508,57;476,043333333333;265,993333333333;982,186666666667;11490,7533333333;1416,27;"Milieu ouvert";2500;"ANT27_c";"sample";"ANT";0,243198680956307;0
"ANT29_b";"ANTERNE";"ANT";2200;"SOL";"B";29;"ANT29";"Milieu ouvert";"ANT_2200_SOL";10;"ANT";2,95948441833333;0,289983620333333;4,71;6,5543370294;246,426666666667;507,89;82,4066666666667;142,456666666667;296,153333333333;3091,44;385,343333333333;"Milieu ouvert";2500;"ANT29_b";"sample";"ANT";0,157388316151203;0,653072637992074
"ANT31_a";"ANTERNE";"ANT";2370;"LIT";"A";31;"ANT31";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT31_a";"sample";"ANT";0,121367521367521;0,581544781308612
