"";"HISEQ:290:CCU08ANXX:1:1208:12152:42784_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:6513:2094_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:11830:15642_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:17719:2467_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:3301:41043_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1201:20337:83677_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:3051:12626_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:2308:13942:93194_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:20062:4228_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1103:9317:31535_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:12246:43812_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1105:12345:89006_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1103:9204:36229_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1214:6559:19964_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:17562:16441_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1305:8600:52726_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:17498:17025_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1201:6757:81172_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1204:4127:48258_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1102:17883:26392_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1310:7282:100485_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1102:15459:58847_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1115:6944:8380_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1103:1076:71116_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1105:7318:63685_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:3280:2417_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:2102:3299:78823_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1103:17684:65165_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1112:6762:34365_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1201:17401:56283_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1214:10816:51015_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:8185:31729_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:5860:32012_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1316:8693:14166_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1104:8435:34435_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:15547:32417_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:4609:96459_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1104:16239:79754_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1310:1315:58395_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1305:6421:81737_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1102:8347:78948_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1112:16130:44742_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:17151:35095_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1105:1414:97992_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:2313:19700:34685_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1103:3115:92899_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1102:3709:10733_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1106:16968:90625_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1105:9124:7763_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1108:7764:11192_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1210:6171:65405_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1110:4123:45083_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:1201:13660_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:6001:2992_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:9155:44130_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1102:3978:19535_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:18321:4093_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1214:14414:83264_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:18444:4338_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1106:9416:26018_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:14181:9987_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1102:5441:56840_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:8091:4992_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1110:17320:55796_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1112:10640:90641_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:14777:66031_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1304:15460:79481_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1101:17784:6116_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1312:1562:87495_CONS_SUB_SUB";"HISEQ:290:CCU08ANXX:1:1101:9334:53464_CONS_SUB_SUB_CMP";"HISEQ:290:CCU08ANXX:1:1216:6529:76401_CONS_SUB_SUB"
"ANT01_a";0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;0;0;0;0;0;0;0;0
"ANT02_b";0;0;0;0;0;0;349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT04_b";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0;0;0;0;0;0;0
"ANT04_c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0
"ANT06_a";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT13_a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT13_b";0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;15;0;0;15;0;0;0;0;0;0;0;0
"ANT13_c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT15_a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT19_c";0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT20_a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0
"ANT21_c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT24_c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT26_a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT26_b";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT27_c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0;0;0;390;0;0;0;0;0;0;0;0
"ANT29_b";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT31_a";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0
"ANT31_c";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ANT32_a";0;0;0;0;0;0;0;0;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3341;0;0;0;0;0;7;0;0
