"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"fungi_part";"streptophyta_part";"chlorophyta_part";"chlorophyceae_part";"trebouxiophyceae_part"
"ANT01-2016_R1";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01-2016_R1";"sample";"ANT";0,814347290640394;0,0463875205254516;0;0;0
"ANT01-2016_R2";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01-2016_R2";"sample";"ANT";0,819009231569367;0,0490183331166298;0;0;0
"ANT01-2016_R3";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01-2016_R3";"sample";"ANT";0,799715707178394;0,0567164179104478;0;0;0
"ANT01-2016_R4";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01-2016_R4";"sample";"ANT";0,84201935408651;0,0396409000816136;0;0;0
"ANT02-2016_R1";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02-2016_R1";"sample";"ANT";0,785506373582254;0,0158586771052896;0;0;0
"ANT02-2016_R2";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02-2016_R2";"sample";"ANT";0,834002569868294;0,0121265660134918;0;0;0
"ANT02-2016_R3";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02-2016_R3";"sample";"ANT";0,865188620006762;0,00652079408781336;0;0;0
"ANT02-2016_R4";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02-2016_R4";"sample";"ANT";0,865913370998117;0,0103578154425612;0;0;0
"ANT03-2016_R1";"ANTERNE";"ANT";1400;"LIT";"C";3;"ANT03";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT03-2016_R1";"sample";"ANT";0,787125506072874;0,0240080971659919;0;0;0
"ANT03-2016_R2";"ANTERNE";"ANT";1400;"LIT";"C";3;"ANT03";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT03-2016_R2";"sample";"ANT";0,745441671092229;0,0302708443972384;0;0;0
"ANT03-2016_R3";"ANTERNE";"ANT";1400;"LIT";"C";3;"ANT03";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT03-2016_R3";"sample";"ANT";0,764705882352941;0,0316436861422478;0;0;0
"ANT03-2016_R4";"ANTERNE";"ANT";1400;"LIT";"C";3;"ANT03";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT03-2016_R4";"sample";"ANT";0,795992366412214;0,0202290076335878;0;0;0
"ANT04-2016_R1";"ANTERNE";"ANT";1400;"SOL";"A";4;"ANT04";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT04-2016_R1";"sample";"ANT";0,880214661806399;0,0201498582422033;0;0;0
"ANT04-2016_R2";"ANTERNE";"ANT";1400;"SOL";"A";4;"ANT04";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT04-2016_R2";"sample";"ANT";0,863056752873563;0,0193965517241379;0;0;0
